claimDate,text,label,label_id
2011-04-03,Fifty percent of our students who enter higher education need to take remedial courses because they are not prepared for college-level work.,2,mostly false
2011-07-23,"Says ""under our current sentencing laws, about 75 percent of all convicted felons in Oregon do not go to prison.""",3,mostly true
2011-06-05,Manufacturing is having its best employment year in almost 15 years.,3,mostly true
2016-02-11,Americans haven’t had a raise in 15 years.,3,mostly true
2015-05-13,You can be an NFL player with murder charges and not be suspended.,1,half true
2013-05-08,"Says paid family leave is ""a program that is standard in all but five nations around the world.""",3,mostly true
2011-07-05,"Says U.S. Rep. Ron Kind’s ""stimulus cost taxpayers $278,000 per job.""",0,false
2009-10-21,"Usually it's about $900 a month to get health coverage. (Florida's program has) reduced that, on average, to about $150 a month.",0,false
2012-09-11,"Says Ohio's Issue 2 will create a redistricting commission that will ""have a blank check to spend our money.""",0,false
2013-07-24,"The minimum wage is ""lower right now than it was when Ronald Reagan took office.""",3,mostly true
2015-04-06,The same federal government that offers some money for a program is walking away from another health care program.,1,half true
2012-11-09,"Budget analysts say the looming tax hikes and spending cuts would ""take us into a recession and kill jobs.""",5,true
2013-08-06,"Says that while Foster was mayor, Rick Kriseman was ""ineffective"" in the Florida House of Representatives because ""there was no legislation that passed the House that had (Kriseman’s) name on it.""",1,half true
2013-01-02,Wind powers nearly 13 million homes across the country.,3,mostly true
2014-04-18,"Welcome to Wisconsin road signs have ""always been made in Wisconsin,"" but Scott Walker ""is outsourcing them"" to an out-of-state company and ""paying more money for them.""",0,false
2011-02-16,The Constitution doesn't allow the governor to not-spend appropriations funds.,1,half true
2014-09-12,It is true that we know that ISIS is present in Ciudad Juarez (Mexico),2,mostly false
2016-06-20,"As governor, in the face of partisan attacks, (Charlie Crist) had the courage to save jobs and lead his state into economic recovery.",1,half true
2016-03-04,Seventy percent of Missourians support voter photo ID legislation.,3,mostly true
2012-01-10,Suzanne Bonamici was the only no vote on a 2009 bill cracking down on drunk drivers.,5,true
2012-10-26,Women in Barack Obama's White House are earning less than men.,1,half true
2007-11-19,"Average families are spending roughly $2,000 more a year on energy costs. ... It's like a $2,000 energy tax in just the last seven years, more than three times what the typical American family received from the Bush tax cuts.",1,half true
2010-01-14,"“The largest tax increase that we have ever had in our state is yours – it is the business margins tax that you signed, governor.”",0,false
2014-11-30,We’re borrowing 20% of (the federal) budget.,1,half true
2012-03-02,"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt.""",0,false
2011-09-01,$360 million of our tax dollars went straight to ... the Taliban.,3,mostly true
2014-08-05,"Says he ""voted for even stronger protections (in the Violence Against Women Act) than Obama's agenda will allow.""",2,mostly false
2010-11-02,"Milwaukee’s problems include ""52 percent black male unemployment.""",0,false
2008-04-16,I have never said that I don't wear flag pins or refuse to wear flag pins.,0,false
2014-03-30,"Says Charlie Crist ""implemented Jeb Bush’s A+ Plan.""",5,true
2015-10-29,How many concerts would Taylor Swift have to perform to pay off one day of interest on our national debt? She would have to perform every day for three years.,3,mostly true
2011-11-17,"The Affordable Care Act is ""not the law of the land.""",0,false
2011-03-09,Says it has offered $12 million in savings through 2011 and $184 million in savings over the next 25 years in contract negotiations with the City of Milwaukee.,2,mostly false
2015-01-14,Austin has more lobbyists working for it than any other municipality in Texas.,3,mostly true
2014-11-05,"Every new Republican member of the U.S. Senate said they ""will vote to repeal and replace Obamacare.""",3,mostly true
2012-06-17,"Voter fraud provided ""a portion"" of the margin of victory of Democrat John Lehman over Republican Sen. Van Wanggaard in a state Senate recall election.",0,false
2010-03-01,"Todd Staples recently tried to woo his supporters and right-wing base by suggesting the Agriculture Commission cut programs intended to feed the elderly and disabled, many of whom are veterans.",2,mostly false
2013-04-17,The NRA used to support expanded background checks.,5,true
2009-07-07,"Under the new and little known 'global justice' initiative, the Obama administration has ordered FBI agents to ""read Miranda Rights to high-value terrorist detainees captured on the battlefield.""",1,half true
2013-07-17,"Says HJM 20 ""was the only bill not assigned to a House committee.""",0,false
2013-04-17,Science has not shown greenhouse gases to be a problem.,0,false
2013-07-24,"For several days in July of 2012, Greenland surface ice cover melted more than at any time in 30 years of satellite observation. During that month, an estimated 97% of the ice sheet thawed.",1,half true
2012-09-11,"Obamacare will provide coverage for abortions, despite the president’s commitment that it would not.",3,mostly true
2010-04-05,We have constitutional amendment that says that there's a ban on drilling right off Florida's coast.,0,false
2011-03-30,"For every one ESD superintendent position, we can pay for three speech pathologists, or three special needs instructors, or three classroom teachers.",0,false
2011-05-10,"Says Rick Perry ""turned down our invitation to meet"" President Barack Obama in El Paso.",3,mostly true
2013-11-25,"Residents could have received nearly $48M for Local Schools, Fire District, Sheriff’s Dept. and Social Services.",2,mostly false
2012-08-05,"Says Obama ""refuses to recognize Jerusalem"" as the capital of Israel.",1,half true
2011-06-27,"By the end of his first term, President Obama will have added as much debt as all the prior 43 presidents combined.",3,mostly true
2016-04-01,"Today, it is more difficult to enlist in the U.S. military than it is to enroll in college.",1,half true
2007-04-26,(McCain) said he was opposed to overturning Roe v. Wade. Now he's for overturning Roe v. Wade.,1,half true
2015-03-31,"Half of all Americans have less than $10,000 in their savings account.",3,mostly true
2012-07-11,"When I was governor, not only did test scores improve – we also narrowed the achievement gap.",1,half true
2016-07-21,Homicides last year increased by 17 percent in America’s 50 largest cities. That’s the largest increase in 25 years.,1,half true
2010-09-14,"Our county now has the fastest growing airport in America, attracting nearly 1,000 new private sector jobs.",1,half true
2011-07-15,"A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.",0,false
2016-05-16,"Says ""Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.""",0,false
2012-07-18,Says stimulus money went to buy electric cars from Finland as a payback to Obama supporters.,0,false
2010-10-06,"Says Lincoln Chafee ""settled a union strike by giving the teachers a 19-percent-raise.""",1,half true
2012-09-04,"Says she was misquoted and ""didn’t say"" that the Israeli ambassador said ""what the Republicans are doing is dangerous for Israel.""",0,false
2015-04-02,Georgia has had the nation’s busiest Court of Appeals for a decade or more.,1,half true
2015-04-17,Medicaid expansion isn’t necessarily a very popular issue on the street.,1,half true
2011-05-16,"On taxes, President Barack Obama wants to raise ""the top rate to 44.8 percent.""",3,mostly true
2015-02-23,"Says Wisconsin Manufacturers & Commerce’s ""own 2014 survey revealed that just 15 percent of business executive respondents were in favor of Right-To-Work legislation.""",0,false
2015-10-15,We lose an average of 90 Americans every day because of guns.,3,mostly true
2013-07-27,"The ""most realistic estimates"" for jobs created by Keystone XL are ""maybe 2,000 jobs during the construction of the pipeline.""",0,false
2012-08-28,"In 2008, Charlie Crist ‘""applauded the pick of Sarah Palin and said she would do ‘a great job.’""",5,true
2014-10-21,"A new Colorado law ""literally allows residents to print ballots from their home computers, then encourages them to turn ballots over to ‘collectors.’ """,0,false
2010-08-02,"Kathryn Starkey ""only attended half of those meetings.""",3,mostly true
2011-03-14,"The GOP budget plan ""would cut nearly a million jobs.""",1,half true
2009-04-07,President Obama has never received a paycheck from a profitmaking business in his entire life.,0,false
2012-10-25,On a single-payer healthcare system,4,other
2012-01-26,Republican-leaning states get more in federal dollars than they pay in taxes.,3,mostly true
2010-12-07,"When President Franklin D. Roosevelt started Social Security, ""it only affected widows and orphans,"" and when Medicare began, ""it was a small program.""",0,false
2013-10-07,"For the first time since the Korean War, total federal spending has gone down for two years in a row.",5,true
2009-08-31,Scientists project that the Arctic will be ice-free in the summer of 2013.,2,mostly false
2014-09-28,"Says personhood legislation she sponsored would not have restricted access to reproductive services and was ""simply a statement that I support life.""",1,half true
2014-09-15,"In 2012, ""Wall Street"" gave Scott Brown ""more campaign contributions than any other candidate -- $5.3 million.""",3,mostly true
2015-03-12,"We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.",3,mostly true
2011-06-02,"A few months into office, (President Barack Obama) traveled around the globe to apologize for America.",0,false
2015-03-09,"Says Hillary Clinton ""sent a memo"" to all State Department staff that said ""you should not do State Department business on personal email.""",3,mostly true
2015-06-14,One of the reasons I believe we’re in trouble in Yemen is we lost the population on drone strikes issues. That’s what stirred up the population. That’s what is happening in Yemen.,1,half true
2009-08-13,Health care reform will not affect veterans' benefits.,5,true
2011-04-18,"In Senate Bill 5, there is this new method of evaluating teachers. … You’re also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents.",5,true
2011-08-15,"Outside of recall elections, ""there's never been a public official removed from office"" in Wisconsin ""for anything but malfeasance in office.""",3,mostly true
2012-02-28,"Says Rick Santorum ""opposes right-to-work""",1,half true
2013-02-06,Says Austin is the largest city in the U.S. without nonstop flights to Europe.,0,false
2012-05-18,"Georgia Public Service Commission member Stan Wise ""has received about 95 percent of his campaign money from the utilities he is supposed to be regulating.""",1,half true
2011-11-28,On President Barack Obama’s stimulus,4,other
2013-07-17,"The federal Consumer Financial Protection Bureau is ""collecting financial information, monitoring financial information of millions of Americans"" without their knowledge and ""storing it for up to 10 years.""",1,half true
2014-10-29,"25,000 businesses have been created since (Scott) Walker took office.",2,mostly false
2010-01-19,"In Massachusetts, Scott Brown's Republican affiliation is ""not a secret, but clearly not on display.""",3,mostly true
2015-08-17,"Says Michele Bachmann said, ""The Chinese built a Great Wall 5,000 years ago. You don't see any illegal Mexicans in China.""",0,false
2013-11-04,"What we said was, you can keep (your plan) if it hasn’t changed since the law passed.",0,false
2014-03-31,Did you know US population growth is at its lowest since the Great Depression?,5,true
2016-06-22,"Says Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.""",0,false
2011-12-09,"Newt Gingrich ""has suggested"" building ""a mirror system in space"" could improve the Earth’s habitability.",5,true
2016-06-12,"We admit more than 100,000 lifetime migrants from the Middle East each year.",3,mostly true
2016-03-17,"We have ten different tax brackets and if you’re making $9,000, you’re already in the top tax bracket.",0,false
2011-09-02,"One international flight a day in a wide-bodied jet ... one flight daily generates $150 million a year and approximately 2,300 jobs.",1,half true
2011-11-29,"Says most states, but not Texas, permit jurors to ask questions of witnesses in trials.",1,half true
2012-07-12,"A study showed that President Barack Obama’s health-care reforms will ""devastate Wisconsin"" by pushing people off employer-sponsored insurance, driving up premiums, increasing dependency and making 122,000 people ineligible for Medicaid.",0,false
2010-08-15,"The DeWine campaign is ""receiving money from so many more people. (Cordray's) money is coming almost exclusively from the party, labor unions, and special counsel that he has given business to.""",1,half true
2016-07-26,"Barack Obama ""ended up getting re-elected by the largest gender gap in the history of American elections.""",1,half true
2013-09-18,"Mental health provisions related to mass shootings ""got over 90 votes in the Senate.""",5,true
2012-06-08,"As governor of Massachusetts, ""Romney reduced unemployment to just 4.7 percent.""",1,half true
2007-10-08,"Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years.",1,half true
2010-04-01,Early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms.,0,false
2011-09-22,President Obama has the lowest public approval ratings of any president in modern times.,0,false
2015-02-27,I unsealed my records at Marquette University.,0,false
2015-07-22,President Barack Obama met with Iranian president Hassan Rouhani.,0,false
2011-01-18,Says he’s the first Aggie governor of Texas.,5,true
2011-09-26,"Says he never called teachers ""thugs"" and has said nothing but ""great things"" about them during the fight over his curbs on unions",1,half true
2015-01-22,DeKalb County has graduated five police academies and three fire academies to help reach its ambitious hiring goals in both departments.,3,mostly true
2015-09-02,Almost 40 percent of all (undocumented) immigrants come by plane and they overstay their visas.,1,half true
2010-06-03,"Under the new health care law, the elderly will be denied care when they have ""passed the age limit for treatment.""",0,false
2011-03-26,"Since Corey Stewart became chairman in November 2006, unemployment is up 150% and average home price sales are down $150,000.",1,half true
2011-05-04,The Ohio Democratic Party has raised $1.1 million since the November election. A very small percentage of that has come from organized labor.,3,mostly true
2011-11-23,"Says Newt Gingrich ""has said that we should make the 11 million illegal workers that are in this country legal.""",0,false
2015-07-11,Says Florida had five sanctuary cities while Jeb Bush was governor.,0,false
2012-03-07,The state [food stamp call center] program is administered from foreign shores.,2,mostly false
2016-06-14,"The National Park Service has ""an annual budget that is less than the city of Austin.""",5,true
2010-12-01,"Hillsborough's Public Transportation Commission has ""a rule that says cabbies have to wear socks. I mean, please. Come on.""",5,true
2013-04-12,"Right now, if Rhode Island police come across a young person with a gun, ""they really don't legally have the right to take it away from them.""",1,half true
2008-10-24,"John McCain's health care plan ""won't guarantee coverage of cancer screenings or maternity care.""",5,true
2014-04-16,David Dewhurst currently owes more than $1 million to vendors for services provided to his 2012 U.S. Senate campaign.,3,mostly true
2010-12-01,Four out of 10 homicides are committed by gun in this city.,5,true
2011-01-20,"Says the United States does not ""trade as much as other developed nations.""",5,true
2007-08-20,... study after study has shown that the death penalty deters murders.,1,half true
2016-03-10,"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.",5,true
2015-12-15,Texas is growing twice as fast as the rest of the country.,5,true
2012-05-14,"An ""Obamacare slush fund"" paid to spay and neuter dogs and cats, then counted it as an ""anti-obesity campaign.""",0,false
2013-04-01,Most state employees did not receive any pay raise from 2009 to 2012.,5,true
2013-08-08,"According to the U.S. Census Bureau, 71.2 percent of Hispanic registered voters in Texas and over 86 percent of African American registered voters participated in the 2012 elections.",3,mostly true
2010-07-18,Recent data showed Nevada ranks 50th in the money received from the stimulus bill.,0,false
2016-03-03,"The Mitchell Park Domes ""lose about $1 million-plus every year"" and ""the number of people going to the Domes has been going down.""",0,false
2014-10-28,"Says the 1956 Republican Party platform supported equal pay, the minimum wage, asylum for refugees, protections for unions and more.",3,mostly true
2014-05-15,"Under his leadership, more people in Wisconsin ""have access to health care.""",1,half true
2013-03-15,Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths.,1,half true
2013-02-06,Says Texas ranks last in the percentage of residents with high school diplomas.,5,true
2011-12-30,"[If] you apply for a job, the chances are 1 in 7 that you are going to be denied that job unfairly if everybody is forced to use E-Verify.",0,false
2009-08-26,There's no evidence anywhere that offshore drilling has hurt tourism in any area where it has been allowed.,0,false
2008-06-03,"In just a few years in office, Sen. Obama has accumulated the most liberal voting record in the Senate.",2,mostly false
2014-06-26,"Says Barack Obama said that ""ordinary men and women are too small-minded to govern their own affairs"" and that individuals should ""surrender their rights to an all-powerful sovereign.""",0,false
2012-06-09,"Says Sierra Club sued him to stop oil and gas activity on Texas coast, but ""we won"" and ""the turtles are fine.""",1,half true
2014-04-04,This is the first time since World War II that five nuclear-powered aircraft carriers were docked together.,0,false
2013-03-04,"Says Rick Scott called education not a ""core function"" of the state.",0,false
2013-03-27,"Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle.",0,false
2011-06-13,"Says an alternative to Social Security that operates in Galveston County, Texas, has meant that participants will ""retire with a whole lot more money"" than under Social Security.",1,half true
2011-06-13,"Protesters ""attacked"" the group’s headquarters with ""graffiti on the sidewalk"" and ""stenciled images … smeared on the building and statue.""",2,mostly false
2013-09-18,Every engine manufacturer in the United States is now in the state of Texas.,0,false
2012-06-19,"No one in Rhode Island -- not just children, no one in Rhode Island -- should eat more than one serving of freshwater fish caught in our state each month.",1,half true
